FirstName|LastName|Occupation|HasEmployedAsLobbyistOnly|EmploymentExplanation|SubmittedDate|Year|Quarter|DisclosureXML
A. Judson|Bennett|Lobbyist|1|NA|4/4/12 12:39 PM|2012|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>299</EmployerId><LegalName>AMERICANS FOR CONSUMER EDUCATION &amp; COMPETITION</LegalName><AddressLine1>1200 G. Street NW&lt;br&gt;Suite 800</AddressLine1><AddressLine2>Washington, DC 20005</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>299</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
A. Judson|Bennett|Lobbyist|1|NA|7/2/12 11:59 AM|2012|2|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>299</EmployerId><LegalName>AMERICANS FOR CONSUMER EDUCATION &amp; COMPETITION</LegalName><AddressLine1>1200 G. Street NW&lt;br&gt;Suite 800</AddressLine1><AddressLine2>Washington, DC 20005</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>299</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
A. Judson|Bennett|Lobbyist|1|NA|10/1/12 9:07 AM|2012|3|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>299</EmployerId><LegalName>AMERICANS FOR CONSUMER EDUCATION &amp; COMPETITION</LegalName><AddressLine1>1200 G. Street NW&lt;br&gt;Suite 800</AddressLine1><AddressLine2>Washington, DC 20005</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>299</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
A. Richard|Heffron|Sr. VP, Govt Affair|0|Sr VP, administration, legal, supervisory|4/16/12 2:45 PM|2012|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>124</EmployerId><LegalName>DELAWARE STATE CHAMBER OF COMMERCE</LegalName><AddressLine1>P.O. Box 671</AddressLine1><AddressLine2>Wilmington, DE 198990671</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>124</EmployerId><FoodRefreshments>291.82</FoodRefreshments><Entertainment>70</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
A. Richard|Heffron|Sr. VP, Govt Affair|0|Sr VP, administration, legal, supervisory|7/16/12 2:06 PM|2012|2|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>124</EmployerId><LegalName>DELAWARE STATE CHAMBER OF COMMERCE</LegalName><AddressLine1>P.O. Box 671</AddressLine1><AddressLine2>Wilmington, DE 198990671</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>124</EmployerId><FoodRefreshments>1169.27</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
A. Richard|Heffron|Sr. VP, Govt Affair|0|Sr VP, administration, legal, supervisory|10/10/12 3:43 PM|2012|3|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>124</EmployerId><LegalName>DELAWARE STATE CHAMBER OF COMMERCE</LegalName><AddressLine1>P.O. Box 671</AddressLine1><AddressLine2>Wilmington, DE 198990671</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>124</EmployerId><FoodRefreshments>421.67</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
A. Richard|Heffron|Sr. VP, Govt Affair|0|Sr VP, administration, legal, supervisory|1/18/13 8:29 AM|2012|4|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>124</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>124</EmployerId><LegalName>DELAWARE STATE CHAMBER OF COMMERCE</LegalName><AddressLine1>P.O. Box 671</AddressLine1><AddressLine2>NA</AddressLine2><City>Wilmington</City><State>Delaware</State><ZipCode>198990671</ZipCode></Employer><EmployerId>124</EmployerId><FoodRefreshments>201.63</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Alan|Stachura|Senior Manager|0|Other responsibilities|4/5/12 10:53 AM|2012|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>273</EmployerId><LegalName>CT CORPORATION</LegalName><AddressLine1>1209 Orange Street</AddressLine1><AddressLine2>Wilmington, DE 19801</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>273</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Alan|Stachura|Senior Manager|0|Other responsibilities|7/5/12 10:55 PM|2012|2|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>273</EmployerId><LegalName>CT CORPORATION</LegalName><AddressLine1>1209 Orange Street</AddressLine1><AddressLine2>Wilmington, DE 19801</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>273</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Alan|Stachura|Senior Manager|0|Other responsibilities|10/2/12 10:48 AM|2012|3|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>273</EmployerId><LegalName>CT CORPORATION</LegalName><AddressLine1>1209 Orange Street</AddressLine1><AddressLine2>Wilmington, DE 19801</AddressLine2><City/><State/><ZipCode/></Employer><EmployerId>273</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
